597396	0	0	0	0
423895	226	1674	871	34
922579	0	0	0	0
183430	0	4	0	0
72960	0	0	0	0
1770706	1	85	17	0
110631	0	0	0	0
913497	0	87	0	1
164627	3	6	1	1
168598	35	872	11	11
536166	0	0	2	0
592761	0	0	0	0
881900	0	0	0	0
777536	23	2945	601	42
256763	117	1069	4	8
682508	0	2	1	1
1871001	0	0	0	0
4162287	191	1628	9	15
1329210	0	0	0	0
4705872	0	0	0	0
934967	0	3	0	1
9397500	0	0	0	0
478822	0	0	0	0
3055103	0	0	0	0
8491226	0	0	0	0
7129848	0	0	0	0
365031	0	0	0	0
893213	0	2	2	0
310674	0	0	0	0
4018043	3	7	1	1
525596	0	0	0	0
4677463	0	0	0	0
69307	0	4	0	0
4440520	0	0	0	0
6639802	2	3	5	1
636071	0	2	0	0
175470	0	3	0	0
837019	0	0	0	0
586465	0	0	0	0
12474895	0	0	0	0
9229873	0	0	0	0
1386271	0	8	0	0
8744	0	0	0	0
312001	2	110	30	4
423442	175	628	2	1
439326	0	1	0	0
899736	0	0	0	1
10699761	0	0	0	0
1392360	0	0	0	1
2983299	0	0	0	0
808171	0	12	0	0
75	0	9	0	2
103014	0	0	0	0
48370	0	8	2	0
4974796	0	0	0	0
4548018	3	2	2	2
3261543	0	0	0	0
1949755	0	0	0	0
193584	17	82	1	1
6693935	0	0	0	0
739077	0	8	0	0
2627136	0	0	0	0
2862976	0	2	1	0
582661	0	4	17	0
3098936	0	0	0	0
4166198	0	0	0	0
1427273	0	0	0	0
1276787	3	515	17	14
2066385	0	0	0	0
1643718	153	1535	62	10
881785	0	0	0	2
12076317	0	0	0	0
258581	0	0	0	0
10722911	0	0	0	0
7303244	0	0	0	0
331520	0	0	0	0
893553	1	18	0	0
908419	0	0	0	0
3060879	0	4	0	1
212230	1	25	3	1
277257	0	94	1	0
919722	0	0	0	0
657200	0	1	0	0
4444605	0	0	0	0
4191996	0	2	0	0
3071718	0	1	0	0
1470554	0	16	0	0
2051892	0	1	0	0
5911881	0	1	0	0
10404286	0	0	1	1
4002680	0	0	1	0
80529	0	1	2	0
646007	0	17	0	0
2394559	0	5	0	1
294047	0	0	0	0
5907649	0	2	0	0
6983168	0	0	0	0
2034457	0	0	0	0
431471	0	7	0	0
614801	0	1	0	0
2159938	0	0	0	0
123484	0	4	0	0
2084361	0	11	0	3
5399320	0	0	0	0
10861498	0	0	0	0
888465	0	16	8	4
1769760	0	0	0	0
2608033	0	0	0	0
238588	0	36	0	1
2703253	1	3	0	1
88153	0	22	0	0
4931952	0	0	0	0
4858257	0	6	1	0
17683304	0	6	0	0
1893045	1	84	0	1
4625158	1	19	1	1
912354	0	0	0	0
6043533	0	0	0	0
6188477	0	0	0	0
52250	0	155	1	3
16697068	0	0	0	0
638040	0	0	0	0
7311138	0	0	0	0
699438	0	4	0	1
61378	0	0	0	0
1642421	0	10	2	0
120586	0	22	0	1
10234920	0	0	1	0
1557067	0	0	0	0
7355851	0	0	0	1
7587998	0	0	0	0
244155	0	69	2	2
7970105	0	0	0	0
13688969	1	0	1	0
5369651	0	0	0	0
4122321	1	2	4	0
7779952	0	0	0	0
284424	0	100	6	1
563535	1	3	0	0
1740548	0	0	0	0
1674896	0	0	0	0
1772434	0	0	0	0
13772244	0	0	0	1
5954622	0	0	0	1
78427	0	0	0	0
8001163	0	1	0	0
9316547	0	1	1	0
8842354	0	0	0	0
904721	0	58	0	2
