597396	772	95
423895	1040	115
922579	122	15
183430	128	36
72960	143	21
1770706	775	92
110631	237	13
913497	127	92
164627	126	93
168598	166	83
536166	810	57
592761	194	56
881900	157	7
777536	764	103
256763	135	67
682508	160	89
1871001	114	136
4162287	137	82
1329210	135	29
4705872	151	51
934967	199	20
9397500	93	71
478822	169	33
3055103	185	17
8491226	764	103
7129848	185	64
365031	183	67
893213	124	78
310674	43	72
4018043	176	26
525596	810	57
4677463	186	16
69307	104	115
4440520	84	80
6639802	164	38
636071	128	122
175470	107	57
837019	97	40
586465	1110	45
12474895	1117	38
9229873	172	30
1386271	114	136
8744	72	43
312001	115	135
423442	155	47
439326	811	56
899736	774	93
10699761	183	67
1392360	118	46
2983299	63	74
75	1040	115
103014	72	43
48370	81	83
4974796	810	57
4548018	169	80
3261543	138	64
1949755	1110	45
193584	59	56
6693935	1007	148
739077	179	40
2627136	810	57
2862976	810	57
582661	183	67
3098936	763	104
4166198	211	38
1427273	139	63
1276787	108	111
2066385	1110	45
1643718	179	70
881785	1010	145
12076317	97	122
258581	208	42
10722911	114	136
7303244	48	67
331520	93	71
893553	160	42
908419	77	60
3060879	97	40
212230	133	31
277257	104	115
919722	168	34
657200	81	83
4444605	1110	45
4191996	810	57
3071718	176	73
1470554	39	76
2051892	168	34
5911881	137	113
10404286	774	92
4002680	133	31
80529	77	60
646007	172	47
2394559	87	50
294047	181	38
5907649	63	74
6983168	185	64
2034457	172	47
431471	183	67
614801	182	68
2159938	161	88
123484	112	3
2084361	114	136
5399320	135	29
10861498	211	38
888465	1016	139
1769760	135	29
2608033	130	72
238588	176	73
2703253	135	67
88153	123	79
4931952	138	64
4858257	103	116
17683304	48	67
1893045	1037	118
4625158	218	31
912354	72	43
6043533	165	37
6188477	173	46
52250	81	83
16697068	211	38
638040	135	29
7311138	211	38
699438	177	72
61378	215	34
1642421	124	126
120586	773	94
10234920	133	31
1557067	116	103
7355851	187	63
7587998	211	38
244155	1007	148
7970105	1121	34
13688969	98	39
5369651	183	67
4122321	212	38
7779952	172	30
284424	39	76
563535	1033	122
1740548	211	38
1674896	810	57
1772434	63	52
13772244	51	64
5954622	135	67
78427	175	44
8001163	173	29
9316547	104	115
8842354	39	76
904721	145	105
494434	85	30
189840	118	46
3311852	138	64
3807956	810	57
16366243	137	65
379922	168	34
1420223	170	32
11033667	173	46
6369343	170	32
89623	183	19
1398957	124	95
7596516	774	93
461536	810	57
156489	98	39
306805	1037	118
1812746	763	104
3303229	85	52
836466	766	101
6508135	1123	32
744715	1123	32
3048031	189	61
3014523	125	77
4925012	137	65
429251	245	5
137816	815	52
8954177	172	47
8491103	186	16
3723075	1055	100
1606487	173	46
185546	810	57
5401822	168	34
111559	67	70
2582194	72	43
5003734	72	43
1422233	170	32
7741057	107	112
4059920	135	29
3898887	177	42
342646	810	57
122886	814	53
19620195	1016	139
6796282	168	34
895617	128	91
922545	1115	40
11312659	74	63
19175935	1112	43
1864366	768	99
20384515	1110	45
4012052	169	33
5588959	99	38
1556865	1110	45
14164	56	59
1344144	45	70
2643697	174	45
6810019	95	42
6069951	183	67
2625687	173	46
4840013	132	70
2848497	176	43
16894003	186	16
272675	1112	43
1320581	189	61
51719	126	11
3607081	128	122
19088449	85	52
11354782	134	68
28624045	1042	113
3301665	1148	7
4790535	1070	85
28642912	151	51
8668678	211	38
5314796	772	95
5030761	139	111
1720973	153	49
376772	175	27
179067	126	93
11667405	1036	119
2508135	1110	45
9695212	197	5
469333	125	77
4454981	137	113
2740963	142	60
11275028	207	42
18072992	180	22
6443476	810	57
192251	183	67
67141	124	126
63231	152	98
610390	133	31
19510341	187	63
3972844	72	43
789067	116	103
6716854	72	43
2457994	72	43
10255	1054	101
